7 classifier 8 iter;0.106000;0.007500
7 classifier 9 iter;0.104000;0.007500
7 classifier 10 iter;0.094000;0.007500
7 classifier 11 iter;0.083000;0.007500
7 classifier 12 iter;0.081000;0.007500
7 classifier 13 iter;0.075000;0.007500
7 classifier 14 iter;0.071000;0.007500
7 classifier 15 iter;0.068000;0.007500
7 classifier 16 iter;0.065000;0.007500
7 classifier 17 iter;0.062000;0.007500
7 classifier 18 iter;0.061000;0.007500
7 classifier 19 iter;0.060000;0.007500
7 classifier 20 iter;0.058000;0.007500
7 classifier 21 iter;0.056000;0.007500
7 classifier 22 iter;0.050000;0.007500
7 classifier 23 iter;0.050000;0.007500
8 classifier 0 iter;0.109000;0.007500
8 classifier 1 iter;0.105000;0.007500
8 classifier 2 iter;0.098000;0.007500
8 classifier 3 iter;0.097000;0.007500
8 classifier 4 iter;0.093000;0.007500
8 classifier 5 iter;0.092000;0.007500
8 classifier 6 iter;0.087000;0.007500
8 classifier 7 iter;0.084000;0.007500
8 classifier 8 iter;0.077000;0.007500
8 classifier 9 iter;0.072000;0.007500
8 classifier 10 iter;0.065000;0.007500
8 classifier 11 iter;0.061000;0.007500
8 classifier 12 iter;0.058000;0.007500
8 classifier 13 iter;0.057000;0.007500
8 classifier 14 iter;0.055000;0.007500
8 classifier 15 iter;0.053000;0.007500
8 classifier 16 iter;0.050000;0.007500
8 classifier 17 iter;0.049000;0.007500
8 classifier 18 iter;0.049000;0.007500
9 classifier 0 iter;0.150000;0.007500
9 classifier 1 iter;0.149000;0.007500
9 classifier 2 iter;0.152000;0.007500
9 classifier 3 iter;0.146000;0.007500
9 classifier 4 iter;0.144000;0.007500
9 classifier 5 iter;0.143000;0.007500
9 classifier 6 iter;0.132000;0.007500
9 classifier 7 iter;0.127000;0.007500
9 classifier 8 iter;0.121000;0.007500
9 classifier 9 iter;0.115000;0.007500
9 classifier 10 iter;0.107000;0.007500
9 classifier 11 iter;0.101000;0.007500
9 classifier 12 iter;0.095000;0.007500
9 classifier 13 iter;0.089000;0.007500
9 classifier 14 iter;0.083000;0.007500
9 classifier 15 iter;0.077000;0.007500
9 classifier 16 iter;0.074000;0.007500
9 classifier 17 iter;0.073000;0.007500
9 classifier 18 iter;0.072000;0.007500
9 classifier 19 iter;0.069000;0.007500
9 classifier 20 iter;0.068000;0.007500
9 classifier 21 iter;0.067000;0.007500
9 classifier 22 iter;0.066000;0.007500
9 classifier 23 iter;0.065000;0.007500
9 classifier 24 iter;0.067000;0.007500
9 classifier 25 iter;0.067000;0.007500
